"id","Bezeichnung"
"44","Bayer. Militär-Max-Joseph-Orden"
"26","Bayer.Verfassungsmedaille in Silber"
"29","Bayerische Staatsmedaille für Verdienste um die Umwelt"
"12","Bayerische Verfassungsmedaille in Gold"
"1","Bayerischer Verdienstorden"
"37","Bayerisches Militär-Verdienstkreuz mit Krone und Schwertern"
"41","Bronzene Ehrennadel d.Verbandes d.Reservisten der Deutschen Bundeswehr"
"13","Bundesverdienstkreuz"
"39","Bundesverdienstkreuz 1.Klasse"
"5","Bundesverdienstkreuz am Bande"
"42","Bürgermedaille der Stadt Haunstetten"
"52","Denkmalschutzmedaille 1978"
"11","Deutsches Kreuz in Gold"
"40","Dr.-Lodgmannplakette der SL"
"49","Ehrenmeisterbrief des Deutschen Handwerks"
"14","Ehrenring der Stadt Augsburg"
"43","Eichenlaub zum Ritterkreuz des Eisernen Kreuzes"
"8","Eisernes Kreuz 1.Klasse"
"9","Eisernes Kreuz 2. Klasse"
"36","Eisernes Kreuz II.Kl."
"53","Goldene Altenburgmedaille"
"48","Goldene Bürgermedaille"
"45","Goldene Bürgermedaille der Stadt Eichstätt"
"16","Goldene Ehrennadel des Bayerischen Schwerathletikverbandes"
"17","Goldene Ehrennadel des Bayerischen Siedlerbundes"
"2","Goldene Ehrennadel des BRK"
"4","Goldene Ehrennadel des Deutschen Tierschutzbundes"
"3","Goldene Ehrennadel des VdK Bayern"
"18","Goldene Verdienstmedaille des bayer.Landessportverbandes"
"27","Goldenes Siegel der Handwerkskammer Unterfranken"
"24","Großer Verdienstorden der Bundesrepublik Deutschland mit Stern und Schulterband"
"21","Großes silbernes Ehrenzeichen am Bande für Verdienste um die Republik Österreich"
"23","Großkreuz des Päpstlichen Sylvesterordens"
"22","Großkreuz des St.Silvesterordens"
"20","Großkreuz des Verdienstordens der Bundesrepublik Deutschland"
"38","K.Österreichische Tapferkeitsmedaille"
"47","Kommunale Verdienstmedaille in Bronze"
"32","Kommunale Verdienstmedaille in Silber"
"51","Komtur-Dame mit Stern"
"46","Komturkreuz des päpstlichen St.Gregoriusordens"
"6","Medaille in Gold ""München leuchtet, den Freunden Münchens"""
"30","Medaille und Ehrennadel des Landkreises Aschaffenburg"
"50","Orden vom hl. Grab"
"10","Ritterkreuz"
"35","Schlesischer Adlerorden I.Klasse"
"34","Schlesischer Adlerorden II.Klasse"
"33","Silberne Ehrennadel des VdK"
"15","Silberne Verfassungsmedaille"
"31","Stadtplakette in Gold der Stadt Alzenau"
"19","Steckkreuz zum Ehrenzeichen für Verdienste um das Bayerische Rote Kreuz"
"25","Verdienstkreuz des BRK"
"28","Verdienstkreuz des Ordens vom heil.Michael"
"7","Verwundetenabzeichen"
