"id","Name","Bezeichnung"
"28","B'90/Grüne","Bündnis 90/Die Grünen"
"29","CSU","Christlich-Soziale Union in Bayern"
"30","FDP","Freie Demokratische Partei"
"31","SPD","Sozialdemokratische Partei Deutschlands"
"32","FREIE WÄHLER",""
"33","FPV","Freie Parlamentarische Vereinigung"
"34","fraktionslos",""
"35","NPD","Nationaldemokratische Partei Deutschland"
"36","BP","Bayernpartei"
"37","GB/BHE","Gesamtdeutscher Block/Block der Heimatvetriebenen und Entrechteten"
"38","FFG","Freie Fraktionsgemeinschaft"
"39","DG","Deutsche Gemeinschaft"
"40","BHE","Block der Heimatvertriebenen und Entrechteten"
"41","Sozialdemokratische Partei",""
"42","Vereinigte Sozialdemokratische Partei",""
"43","BVP","Bayerische Volkspartei"
"44","WAV","Wirtschaftliche Aufbau-Vereinigung"
"45","DPFR","Deutsche Partei für Freiheit und Recht"
"46","DB","Deutscher Block"
"47","GB","Gesamtdeutscher Block"
"48","GdP","Gesamtdeutsche Partei"
"49","Bayerischer Bauern- und Mittelstandsbund",""
"50","Bayerischer Bauernbund",""
"51","Zentrum",""
"52","Unabhängige Sozialdemokratische Partei",""
"53","Bayerische Mittelpartei und die Deutsche Volkspartei",""
"54","Deutschnationale Volkspartei",""
