"o_id","a_id"
"1","17"
"1","97"
"2","116"
"3","116"
"4","116"
"5","116"
"6","116"
"7","193"
"8","193"
"9","193"
"1","220"
"8","273"
"10","273"
"11","273"
"12","275"
"1","283"
"13","283"
"14","283"
"15","283"
"16","283"
"17","283"
"1","304"
"11","321"
"10","343"
"18","353"
"5","373"
"6","373"
"1","393"
"19","393"
"20","393"
"21","393"
"22","393"
"1","440"
"1","476"
"23","476"
"24","476"
"25","492"
"12","537"
"26","537"
"27","537"
"28","537"
"29","537"
"30","537"
"31","537"
"1","541"
"5","541"
"32","541"
"10","563"
"33","563"
"34","563"
"35","563"
"12","578"
"18","603"
"1","651"
"5","651"
"1","662"
"13","662"
"36","676"
"37","676"
"38","676"
"12","688"
"1","698"
"15","698"
"39","698"
"12","741"
"1","798"
"15","798"
"40","798"
"41","798"
"42","798"
"1","805"
"26","805"
"8","815"
"9","815"
"43","840"
"44","898"
"45","1045"
"39","1051"
"46","1097"
"47","1109"
"48","1132"
"48","1211"
"49","1211"
"1","1231"
"12","1235"
"26","1245"
"1","1301"
"12","1301"
"1","1304"
"5","1304"
"12","1304"
"1","1324"
"1","1325"
"50","1325"
"51","1325"
"52","1325"
"53","1325"
